#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:41:57Z,1002.06,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:41:58Z,1002.06,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:41:59Z,1002.06,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:00Z,1002.02,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:01Z,1002.05,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:02Z,1002.04,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:03Z,1002.05,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:04Z,1002.05,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:05Z,1002.05,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:06Z,1002.05,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:07Z,1002.05,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:08Z,1002.06,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:09Z,1002.03,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:10Z,1002.05,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:11Z,1002.05,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:12Z,1002.06,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:13Z,1002.06,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:14Z,1002.06,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:15Z,1002.01,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:16Z,1001.95,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:17Z,1001.96,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:18Z,1001.89,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:19Z,1001.91,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:20Z,1001.93,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:21Z,1001.93,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:22Z,1001.94,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:23Z,1001.95,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:24Z,1001.91,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:25Z,1001.97,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:26Z,1001.97,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:27Z,1001.97,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:29Z,1001.96,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:30Z,1001.955,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:31Z,1001.96,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:33Z,1001.945,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:34Z,1001.95,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:35Z,1001.96,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:37Z,1001.935,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:39Z,1001.91,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:40Z,1001.91,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:41Z,1001.95,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:42Z,1001.94,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:43Z,1001.975,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:45Z,1001.96,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:46Z,1001.98,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:47Z,1001.98,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:48Z,1001.98,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:49Z,1001.95,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:50Z,1001.95,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:51Z,1001.95,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:52Z,1001.96,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:53Z,1001.97,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:54Z,1001.95,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:57Z,1001.955,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:58Z,1001.96,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:42:59Z,1001.98,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:43:00Z,1001.97,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:43:01Z,1001.96,value,pressure
,,0,2024-12-17T20:38:49.420672Z,2024-12-17T20:53:49.420672Z,2024-12-17T20:43:02Z,1001.96,value,pressure
