#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:41:57Z,22.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:41:58Z,22.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:41:59Z,22.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:00Z,22.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:01Z,22.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:02Z,22.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:03Z,22.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:04Z,22.36,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:05Z,22.36,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:06Z,22.36,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:07Z,22.36,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:08Z,22.36,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:09Z,22.36,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:10Z,22.36,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:11Z,22.37,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:12Z,22.38,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:13Z,22.42,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:14Z,22.5,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:15Z,24.34,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:16Z,25.26,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:17Z,25.88,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:18Z,26.4,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:19Z,26.33,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:20Z,25.56,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:21Z,25.29,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:22Z,25.18,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:23Z,25.09,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:24Z,25,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:25Z,24.94,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:26Z,24.87,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:27Z,24.82,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:29Z,24.77,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:30Z,24.68,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:31Z,24.61,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:33Z,24.55,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:34Z,24.49,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:35Z,24.45,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:37Z,24.4,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:39Z,24.35,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:40Z,24.32,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:41Z,24.29,value,temperature
,,0,2024-12-17T20:38:11.325969Z,2024-12-17T20:53:11.325969Z,2024-12-17T20:42:42Z,24.26,value,temperature
